#{"t_start": 1750515079.131804, "env_id": null}
r,l,t
-2390.52,4768,18392.118987
-840.755,1793,18405.953928
-932.22,1985,18421.306231
-1181.535,2478,18454.954666
-1325.355,2770,18476.064401
-4372.7,8668,18556.838121
-9999.98,19801,18737.438641
-944.92,1961,18767.315719
-1457.64,2801,18788.678977
-1007.21,2131,18804.948208
-2130.085,4293,18852.506364
-1682.71,3482,18879.135894
-5887.12,11898,18999.278039
-5380.265,10729,19095.737421
-3653.11,7294,19166.128382
-1563.76,3253,19190.876502
-2509.92,4923,19243.416019
-1114.975,2355,19261.460203
-10912.855,21715,19470.697672
-4559.98,9231,19555.49425
-2001.445,4083,19586.553603
-925.4,1937,19616.052116
-1534.35,3184,19640.328589
-10880.61,21736,19850.557422
-1676.33,3458,19876.959638
-10923.985,21720,20086.119594
-14638.55,29067,20351.956385
-5150.385,10323,20459.831294
-8532.34,16724,20616.770775
-10901.18,21808,20812.649685
-1236.945,2550,20846.899267
-5170.18,10292,20940.269125
-2482.86,4952,20978.072646
-4629.4,9346,21079.252915
-6433.61,12686,21190.872045
-1257.095,2636,21210.922551
-4149.71,8370,21305.220031
-1694.375,3476,21330.902013
-4401.8,8827,21412.905319
-1949.39,3971,21459.147081
-7377.68,14674,21584.850019
-1954.4,3986,21630.028424
-10784.585,21718,21824.922931
-3213.0,6427,21889.1622
-571.29,1268,21898.885807
-8932.03,17804,22079.234857
-2361.565,4831,22115.571302
-1711.12,3547,22157.482484
-5382.85,10756,22254.005296
-836.26,1796,22267.818925
-618.54,1365,22278.401499
-5366.91,10859,22390.973189
-9584.045,18826,22564.032521
-5188.215,10491,22658.464595
-2668.37,5460,22714.889629
-7542.265,14959,22858.645923
-9631.35,19190,23035.086589
-10862.08,21718,23245.150872
-6935.48,13732,23364.661997
-379.42,878,23371.377799
-1860.615,3847,23415.655577
-5294.28,10632,23511.463385
-1415.44,2841,23548.442885
-2882.475,5858,23592.717509
-5839.49,11769,23712.026539
-10898.135,21808,23907.470696
-10924.54,21718,24116.514492
-2667.64,5328,24172.074975
-1671.08,3362,24197.691368
-10829.9,21898,24408.817109
-3432.44,6772,24475.210623
-1723.665,3503,24501.874219
-10801.675,21807,24712.842124
-4357.685,8812,24794.49919
-917.95,1961,24809.501386
-4171.26,8372,24887.630508
-6308.09,12506,25013.29225
-9511.955,18731,25184.917447
-2791.015,5604,25243.563003
-1899.64,3810,25271.513137
-1957.12,3986,25301.828098
-1291.61,2648,25336.874267
-1784.005,3695,25365.003635
-886.235,1825,25379.071742
-903.9,1928,25408.710802
-2260.93,4643,25444.405493
-10731.38,21309,25651.351959
-4812.05,9671,25739.588749
-1720.1,3347,25765.127817
-4622.215,9106,25864.594512
-7265.25,14455,25989.284645
-2582.14,5292,26044.355805
-10844.965,21808,26255.282492
-1159.12,2447,26274.05298
-654.805,1438,26285.108938
-10867.025,21714,26494.936
-9146.71,17904,26661.020589
-6884.56,13822,26796.153464
-805.98,1739,26809.540306
-10807.65,21808,27005.11021
-1701.555,3497,27046.98406
-3393.52,6864,27113.994558
-6163.905,12448,27223.893835
-8620.65,17244,27385.313553
-10175.88,20358,27584.050613
-1792.685,3712,27612.3081
-1066.265,2257,27644.393396
-10821.425,21716,27838.666837
-724.935,1578,27850.754968
-2205.855,4491,27899.85172
-2239.62,4571,27950.182635
-4389.505,8886,28032.257684
-5927.5,11936,28138.092165
-3907.94,8004,28214.128394
