#{"t_start": 1750037425.0943184, "env_id": null}
r,l,t
-65817.2,108543,562.542414
-76214.6,108532,1090.382999
-48004.4,58873,1364.545114
-75354.9,93506,1813.75899
-53184.9,58478,2086.34773
-46036.7,57605,2356.887504
-89517.1,75474,2712.312389
-11316.8,7051,2748.081701
-69175.4,42392,2948.710204
-65606.1,75736,3304.78652
-59547.4,108530,3833.61889
